"Genus"	"species"	"subfamily"	"family"	"suborder"	"order"	"supraorder"	"mass"	"longevity"	"metabolism"	"maturity_F"	"maturity_M"	"gestation"
"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Vulpes"	"vulpes"	"??"	"Canidae"	"Caniformia"	"Carnivora"	"Laurasiatheria"	8500	21.3	13.731	304	304	52
"Canis"	"lupus"	"??"	"Canidae"	"Caniformia"	"Carnivora"	"Laurasiatheria"	26625	20.6	"NA"	669	669	62
"Cavia"	"porcellus"	"??"	"Caviidae"	"Hystricognathi"	"Rodentia"	"Euarchontoglires"	728	12	2.13	66	76	68
"Cebus"	"albifrons"	"Cebinae"	"Cebidae"	"Haplorrhini"	"Primates"	"Euarchontoglires"	2467.5	40.4	"NA"	1310	1310	158
"Macaca"	"mulatta"	"Cercopithecinae"	"Cercopithecidae"	"Catarrhini"	"Primates"	"Euarchontoglires"	8235	40	"NA"	1231	2007	165
"Papio"	"hamadryas"	"Cercopithecinae"	"Cercopithecidae"	"Catarrhini"	"Primates"	"Euarchontoglires"	18000	37.5	21.095	1514	1762	171
"Chlorocebus"	"aethiops"	"Cercopithecinae"	"Cercopithecidae"	"Catarrhini"	"Primates"	"Euarchontoglires"	5620	30.8	"NA"	1034	1825	162
"Muntiacus"	"muntjak"	"Muntiacinae"	"Cervidae"	"Ruminantia"	"Cetartiodactyla"	"Laurasiatheria"	21000	18.8	"NA"	272	332	210
"Elaphodus"	"cephalophus"	"Muntiacinae"	"Cervidae"	"Ruminantia"	"Cetartiodactyla"	"Laurasiatheria"	33500	22.7	"NA"	639	730	180
"Cervus"	"elaphus"	"Cervinae"	"Cervidae"	"Ruminantia"	"Cetartiodactyla"	"Laurasiatheria"	"2e+05"	31.5	112.43	852	730	245
"Cervus"	"albirostris"	"Cervinae"	"Cervidae"	"Ruminantia"	"Cetartiodactyla"	"Laurasiatheria"	135000	21.3	"NA"	730	"NA"	253
"Rangifer"	"tarandus"	"Odocoileinae"	"Cervidae"	"Ruminantia"	"Cetartiodactyla"	"Laurasiatheria"	101250	21.7	119.66	662	680	228
"Monodon"	"monoceros"	"??"	"Monodontidae"	"Odontoceti"	"Cetartiodactyla"	"Laurasiatheria"	1250000	50	"NA"	2191	2922	450
"Phocoena"	"phocoena"	"??"	"Phocoenidae"	"Odontoceti"	"Cetartiodactyla"	"Laurasiatheria"	52500	20.4	107.675	1055	1461	320
"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Inia"	"geoffrensis"	"??"	"Iniidae"	"Odontoceti"	"Cetartiodactyla"	"Laurasiatheria"	84000	31.3	"NA"	"NA"	"NA"	287
"Lipotes"	"vexillifer"	"??"	"Lipotidae"	"Odontoceti"	"Cetartiodactyla"	"Laurasiatheria"	83500	24	"NA"	2920	"NA"	319
"Berardius"	"bairdii"	"??"	"Ziphiidae"	"Odontoceti"	"Cetartiodactyla"	"Laurasiatheria"	11380000	84	"NA"	4383	2922	517
