Genus,species,sp,mass
93,Rattus,norvegicus,Rattus_norvegicus,300
94,Mus,musculus,Mus_musculus,20.5
95,Nasalis,larvatus,Nasalis_larvatus,14617.5
96,Pygathrix,roxellana,Pygathrix_roxellana,14750
97,Pygathrix,nemaeus,Pygathrix_nemaeus,9720
98,Semnopithecus,entellus,Semnopithecus_entellus,13516.5
99,Presbytis,melalophos,Presbytis_melalophos,6540
100,Trachypithecus,obscurus,Trachypithecus_obscurus,7080
101,Procolobus,badius,Procolobus_badius,NA
102,Colobus,guereza,Colobus_guereza,9950
103,Chlorocebus,sabaeus,Chlorocebus_sabaeus,NA
104,Chlorocebus,tantalus,Chlorocebus_tantalus,NA
105,Chlorocebus,aethiops,Chlorocebus_aethiops,5620
106,Chlorocebus,pygerythrus,Chlorocebus_pygerythrus,NA
107,Macaca,sylvanus,Macaca_sylvanus,10875
108,Macaca,mulatta,Macaca_mulatta,8235
109,Papio,hamadryas,Papio_hamadryas,18000
110,Pan,troglodytes,Pan_troglodytes,44983.5
111,Pan,paniscus,Pan_paniscus,39925
112,Homo,sapiens,Homo_sapiens,62035
113,Gorilla,gorilla,Gorilla_gorilla,139842
114,Pongo,pygmaeus,Pongo_pygmaeus_abelii,64475
115,Pongo,pygmaeus,Pongo_pygmaeus,64475
116,Hylobates,lar,Hylobates_lar,6810
117,Cebus,albifrons,Cebus_albifrons,2467.5
118,Cynocephalus,variegatus,Cynocephalus_variegatus,NA
119,Tupaia,belangeri,Tupaia_belangeri,200
120,Tarsius,bancanus,Tarsius_bancanus,122.5
121,Nycticebus,coucang,Nycticebus_coucang,890.5
122,Lemur,catta,Lemur_catta,2555
123,Halichoerus,grypus,Halichoerus_grypus,268000
124,Phoca,caspica,Phoca_caspica,NA
125,Phoca,sibirica,Phoca_sibirica,NA
126,Phoca,vitulina,Phoca_vitulina,115000
127,Phoca,largha,Phoca_largha,85000
128,Phoca,hispida,Phoca_hispida,NA
129,Phoca,fasciata,Phoca_fasciata,NA
130,Phoca,groenlandica,Phoca_groenlandica,NA
131,Cystophora,cristata,Cystophora_cristata,405000
132,Erignathus,barbatus,Erignathus_barbatus,373000
133,Hydrurga,leptonyx,Hydrurga_leptonyx,367750
134,Leptonychotes,weddellii,Leptonychotes_weddellii,425000
135,Lobodon,carcinophaga,Lobodon_carcinophaga,250000
136,Monachus,schauinslandi,Monachus_schauinslandi,222500
137,Mirounga,leonina,Mirounga_leonina,1400000
138,Callorhinus,ursinus,Callorhinus_ursinus,165500
139,Eumetopias,jubatus,Eumetopias_jubatus,415000
140,Neophoca,cinerea,Neophoca_cinerea,190000
141,Phocarctos,hookeri,Phocarctos_hookeri,187580
142,Arctocephalus,townsendi,Arctocephalus_townsendi,NA
143,Arctocephalus,forsteri,Arctocephalus_forsteri,55000
144,Arctocephalus,pusillus,Arctocephalus_pusillus,127551
145,Zalophus,californianus,Zalophus_californianus,180000
146,Odobenus,rosmarus,Odobenus_rosmarus_rosmarus,1012500
147,Equus,caballus,Equus_caballus,250000
148,Equus,asinus,Equus_asinus,164998
149,Rhinoceros,unicornis,Rhinoceros_unicornis,1602330
150,Ceratotherium,simum,Ceratotherium_simum,2175000
151,Pseudocheirus,peregrinus,Pseudocheirus_peregrinus,850
152,Petaurus,breviceps,Petaurus_breviceps,110
153,Dactylopsila,trivirgata,Dactylopsila_trivirgata,318
154,Tarsipes,rostratus,Tarsipes_rostratus,9
155,Distoechurus,pennatus,Distoechurus_pennatus,51.5
156,Potorous,tridactylus,Potorous_tridactylus,1430
157,Macropus,robustus,Macropus_robustus,30000
158,Lagorchestes,hirsutus,Lagorchestes_hirsutus,1310
159,Lagostrophus,fasciatus,Lagostrophus_fasciatus,2100
160,Trichosurus,vulpecula,Trichosurus_vulpecula,2395
161,Phalanger,interpositus,Phalanger_interpositus,NA
162,Phascolarctos,cinereus,Phascolarctos_cinereus,9300
163,Vombatus,ursinus,Vombatus_ursinus,25500
164,Sminthopsis,crassicaudata,Sminthopsis_crassicaudata,15
165,Sminthopsis,douglasi,Sminthopsis_douglasi,55
166,Dasyurus,hallucatus,Dasyurus_hallucatus,525
167,Phascogale,tapoatafa,Phascogale_tapoatafa,193.5
168,Monodelphis,domestica,Monodelphis_domestica,105
169,Thylamys,elegans,Thylamys_elegans,NA
170,Metachirus,nudicaudatus,Metachirus_nudicaudatus,440
171,Didelphis,virginiana,Didelphis_virginiana,3000
172,Ochotona,princeps,Ochotona_princeps,100
173,Ochotona,collaris,Ochotona_collaris,129
174,Lepus,europaeus,Lepus_europaeus,4175
175,Oryctolagus,cuniculus,Oryctolagus_cuniculus,1800
176,Galemys,pyrenaicus,Galemys_pyrenaicus,57.5
177,Urotrichus,talpoides,Urotrichus_talpoides,NA
178,Talpa,europaea,Talpa_europaea,92.5
179,Mogera,wogura,Mogera_wogura,NA
180,Episoriculus,fumidus,Episoriculus_fumidus,NA
181,Sorex,unguiculatus,Sorex_unguiculatus,NA
182,Crocidura,russula,Crocidura_russula,11.6
183,Echinosorex,gymnura,Echinosorex_gymnura,1250
184,Hemiechinus,auritus,Hemiechinus_auritus,342
185,Erinaceus,europaeus,Erinaceus_europaeus,750
186,Neofelis,nebulosa,Neofelis_nebulosa,19500
187,Herpestes,javanicus,Herpestes_javanicus,800
188,Acinonyx,jubatus,Acinonyx_jubatus,53500
189,Felis,catus,Felis_catus,3900
