Id,Name,dn,ds,Branch.length,Family,Genus,Order,SubFamily,SubOrder,mass,species,FAM
193,,10,123,0.0360545,Cervidae,,,Muntiacinae,Ruminantia,NA,,  Cervidae
194,,15,184,0.0545788,Cervidae,,,,Ruminantia,NA,,  Cervidae
195,Rangifer_tarandus,75,1165,0.343132,Cervidae,Rangifer,,Odocoileinae,Ruminantia,101250,tarandus,  Cervidae
196,,68,711,0.215138,Cervidae,,,,Ruminantia,NA,,  Cervidae
197,Pantholops_hodgsonii,81,847,0.256545,Bovidae,Pantholops,,Antilopinae,Ruminantia,NA,hodgsonii,  Bovidae
198,Ammotragus_lervia,96,741,0.233537,Bovidae,Ammotragus,,Caprinae,Ruminantia,92500,lervia,  Bovidae
199,Ovis_aries,69,813,0.244002,Bovidae,Ovis,,Caprinae,Ruminantia,110000,aries,  Bovidae
19,Cavia_porcellus,329,3687,1.67854,Caviidae,Cavia,Rodentia,,Hystricognathi,728,porcellus, Rodentia Caviidae
1,Myoxus_glis,284,3822,1.80985,Gliridae,Myoxus,Rodentia,Glirinae,Sciurognathi,125,glis, Rodentia Gliridae
2,,137,1212,0.368425,,,Rodentia,,Sciurognathi,NA,, Rodentia 
20,,240,2300,0.700808,,,Rodentia,,Hystricognathi,NA,, Rodentia 
200,Capra_hircus,121,849,0.272281,Bovidae,Capra,,Caprinae,Ruminantia,61000,hircus,  Bovidae
201,,12,97,0.0305458,Bovidae,,,Caprinae,Ruminantia,NA,,  Bovidae
202,,35,291,0.0901822,Bovidae,,,Caprinae,Ruminantia,NA,,  Bovidae
203,,53,537,0.165372,Bovidae,,,,Ruminantia,NA,,  Bovidae
204,Bubalus_bubalis,96,1031,0.313904,Bovidae,Bubalus,,Bovinae,Ruminantia,725000,bubalis,  Bovidae
205,Bos_grunniens,115,1176,0.360603,Bovidae,Bos,,Bovinae,Ruminantia,667000,grunniens,  Bovidae
206,,46,496,0.151945,Bovidae,,,Bovinae,Ruminantia,NA,,  Bovidae
207,,26,178,0.0563975,Bovidae,,,,Ruminantia,NA,,  Bovidae
208,,170,1659,0.51283,,,,,Ruminantia,NA,,  
209,,44,363,0.112715,,,,,,NA,,  
21,,49,384,0.117455,,,Rodentia,,,NA,, Rodentia 
210,,33,246,0.0757502,,,,,,NA,,  
211,Lama_pacos,139,1510,0.445719,Camelidae,Lama,,,Tylopoda,62000,pacos,  Camelidae
212,Camelus_bactrianus,135,1637,0.476824,Camelidae,Camelus,,,Tylopoda,475000,bactrianus,  Camelidae
213,,257,2888,0.870942,Camelidae,,,,Tylopoda,NA,,  Camelidae
214,,83,607,0.188715,,,,,,NA,,  
215,,88,629,0.196522,,,,,,NA,,  
216,Talpa_europaea,97,1514,0.44402,Talpidae,Talpa,Insectivora,,,92.5,europaea, Insectivora Talpidae
217,Mogera_wogura,111,1649,0.491401,Talpidae,Mogera,Insectivora,,,NA,wogura, Insectivora Talpidae
218,,74,929,0.278282,Talpidae,,Insectivora,,,NA,, Insectivora Talpidae
219,Urotrichus_talpoides,171,2589,0.78233,Talpidae,Urotrichus,Insectivora,,,NA,talpoides, Insectivora Talpidae
22,,63,478,0.146539,,,Rodentia,,,NA,, Rodentia 
220,Galemys_pyrenaicus,308,3603,1.14219,Talpidae,Galemys,Insectivora,,,57.5,pyrenaicus, Insectivora Talpidae
221,,28,300,0.0904245,Talpidae,,Insectivora,,,NA,, Insectivora Talpidae
222,,181,1833,0.5588,Talpidae,,Insectivora,,,NA,, Insectivora Talpidae
223,Crocidura_russula,265,3960,1.46479, Soricidae,Crocidura,Insectivora,Crocidurinae,,11.6,russula, Insectivora  Soricidae
224,Episoriculus_fumidus,168,2748,0.819462, Soricidae,Episoriculus,Insectivora,Soricinae,,NA,fumidus, Insectivora  Soricidae
225,Sorex_unguiculatus,146,2368,0.693837, Soricidae,Sorex,Insectivora,Soricinae,,NA,unguiculatus, Insectivora  Soricidae
226,,107,1085,0.329196, Soricidae,,Insectivora,Soricinae,,NA,, Insectivora  Soricidae
227,,185,1732,0.530126, Soricidae,,Insectivora,,,NA,, Insectivora  Soricidae
228,Echinosorex_gymnura,266,3430,2.13469,Erinaceidae,Echinosorex,Insectivora,Galericinae,,1250,gymnura, Insectivora Erinaceidae
229,Hemiechinus_auritus,282,2208,0.686685,Erinaceidae,Hemiechinus,Insectivora,Erinaceinae,,342,auritus, Insectivora Erinaceidae
230,Erinaceus_europaeus,336,2649,0.817888,Erinaceidae,Erinaceus,Insectivora,Erinaceinae,,750,europaeus, Insectivora Erinaceidae
231,,326,3887,1.98287,Erinaceidae,,Insectivora,Erinaceinae,,NA,, Insectivora Erinaceidae
232,,309,2865,0.879384,Erinaceidae,,Insectivora,,,NA,, Insectivora Erinaceidae
233,,65,597,0.180647,,,Insectivora,,,NA,, Insectivora 
234,,91,819,0.250008,,,Insectivora,,,NA,, Insectivora 
235,,126,839,0.264901,,,,,,NA,,  
236,,34,218,0.0677291,,,,,,NA,,  
237,Elephantulus_sp._VB001,300,3803,1.1709,Macroscelididae,Elephantulus,Macroscelidea,,,NA,sp., Macroscelidea Macroscelididae
238,Macroscelides_proboscideus,314,4326,1.39057,Macroscelididae,Macroscelides,Macroscelidea,,,40,proboscideus, Macroscelidea Macroscelididae
239,,318,3116,0.957794,Macroscelididae,,Macroscelidea,,,NA,, Macroscelidea Macroscelididae
23,Ochotona_princeps,310,3601,1.49868,Ochotonidae,Ochotona,Lagomorpha,,,100,princeps, Lagomorpha Ochotonidae
240,Echinops_telfairi,222,3403,2.32908,Tenrecidae,Echinops,,Tenrecinae,,180,telfairi,  Tenrecidae
241,Chrysochloris_asiatica,308,4241,1.41282, Chrysochloridae,Chrysochloris,,Chrysochlorinae,,NA,asiatica,   Chrysochloridae
242,,101,1018,0.304386,,,,,,NA,,  
243,,53,491,0.147891,,,,,,NA,,  
244,Orycteropus_afer,310,3627,1.51893,Orycteropodidae,Orycteropus,Tubulidentata,,,60000,afer, Tubulidentata Orycteropodidae
245,,84,679,0.207948,,,,,,NA,,  
246,Procavia_capensis,318,3611,1.80901,Procaviidae,Procavia,Hyracoidea,,,3600,capensis, Hyracoidea Procaviidae
247,Dugong_dugon,308,3615,1.09955,Dugongidae,Dugong,Sirenia,,,360000,dugon, Sirenia Dugongidae
248,Mammut_americanum,144,871,0.272234,Elephantidae,Mammut,Proboscidea,,,NA,americanum, Proboscidea Elephantidae
249,Loxodonta_africana,39,246,0.0757097,Elephantidae,Loxodonta,Proboscidea,,,4800000,africana, Proboscidea Elephantidae
24,Lepus_europaeus,108,1698,0.490743,Leporidae,Lepus,Lagomorpha,,,4175,europaeus, Lagomorpha Leporidae
250,Elephas_maximus,43,303,0.0920761,Elephantidae,Elephas,Proboscidea,,,3178000,maximus, Proboscidea Elephantidae
251,Mammuthus_primigenius,49,303,0.0948444,Elephantidae,Mammuthus,Proboscidea,,,NA,primigenius, Proboscidea Elephantidae
252,,19,121,0.0379589,Elephantidae,,Proboscidea,,,NA,, Proboscidea Elephantidae
253,,128,826,0.255886,Elephantidae,,Proboscidea,,,NA,, Proboscidea Elephantidae
254,,366,3557,1.62042,Elephantidae,,Proboscidea,,,NA,, Proboscidea Elephantidae
255,,96,939,0.282687,,,,,,NA,,  
256,,117,1050,0.319815,,,,,,NA,,  
257,,112,893,0.27589,,,,,,NA,,  
258,Bradypus_tridactylus,389,2492,0.798735,Bradypodidae,Bradypus,Pilosa,,Folivora,NA,tridactylus, Pilosa Bradypodidae
259,Choloepus_didactylus,265,1645,0.52976,Megalonychidae,Choloepus,Pilosa,,Folivora,NA,didactylus, Pilosa Megalonychidae
25,Oryctolagus_cuniculus,122,1765,0.513301,Leporidae,Oryctolagus,Lagomorpha,,,1800,cuniculus, Lagomorpha Leporidae
26,,233,2479,0.748444,Leporidae,,Lagomorpha,,,NA,, Lagomorpha Leporidae
260,,227,2259,0.691775,,,Pilosa,,Folivora,NA,, Pilosa 
261,Dasypus_novemcinctus,335,4046,1.43111,Dasypodidae,Dasypus,Cingulata,,,NA,novemcinctus, Cingulata Dasypodidae
262,,52,478,0.146561,,,,,,NA,,  
263,Tamandua_tetradactyla,347,3374,1.55254,Myrmecophagidae,Tamandua,Pilosa,,Vermilingua,NA,tetradactyla, Pilosa Myrmecophagidae
264,,170,1566,0.480924,,,,,,NA,,  
265,,50,369,0.113878,,,,,,NA,,  
266,,411,3560,1.11796,,,,,,NA,,  
267,Ornithorhynchus_anatinus,181,2334,0.671885,Ornithorhynchidae,Ornithorhynchus,Monotremata,,,NA,anatinus, Monotremata Ornithorhynchidae
268,Zaglossus_bruijni,46,426,0.124473,Tachyglossidae,Zaglossus,Monotremata,,,NA,bruijni, Monotremata Tachyglossidae
269,Tachyglossus_aculeatus,57,472,0.140635,Tachyglossidae,Tachyglossus,Monotremata,,,NA,aculeatus, Monotremata Tachyglossidae
27,,166,1617,0.49304,,,Lagomorpha,,,NA,, Lagomorpha 
270,,210,2265,0.664225,Tachyglossidae,,Monotremata,,,NA,, Monotremata Tachyglossidae
271,,339,3657,1.54439,,,Monotremata,,,NA,, Monotremata 
272,Dromiciops_gliroides,276,3589,1.09313,Microbiotheriidae,Dromiciops,Microbiotheria,,,NA,gliroides, Microbiotheria Microbiotheriidae
273,Thylamys_elegans,277,3620,1.59308,Didelphidae,Thylamys,Didelphimorphia,Didelphinae,,NA,elegans, Didelphimorphia Didelphidae
274,Phascogale_tapoatafa,211,2817,0.831919,Dasyuridae,Phascogale,Dasyuromorphia,,,193.5,tapoatafa, Dasyuromorphia Dasyuridae
275,Sminthopsis_crassicaudata,216,3219,0.949681,Dasyuridae,Sminthopsis,Dasyuromorphia,,,15,crassicaudata, Dasyuromorphia Dasyuridae
276,,46,509,0.149962,Dasyuridae,,Dasyuromorphia,,,NA,, Dasyuromorphia Dasyuridae
277,Dasyurus_hallucatus,253,3232,0.956871,Dasyuridae,Dasyurus,Dasyuromorphia,,,525,hallucatus, Dasyuromorphia Dasyuridae
278,,243,2699,0.810518,,,Dasyuromorphia,,,NA,, Dasyuromorphia 
279,,70,685,0.204126,,,,,,NA,,  
28,,64,468,0.144118,,,,,,NA,,  
280,Macrotis_lagotis,237,3075,0.939697,Peramelidae,Macrotis,Peramelemorphia,,,NA,lagotis, Peramelemorphia Peramelidae
281,Echymipera_rufescens_australis,137,1791,0.530349,Peroryctidae,Echymipera,Peramelemorphia,,,NA,rufescens australis, Peramelemorphia Peroryctidae
282,Isoodon_macrourus,47,1014,0.290035,Peramelidae,Isoodon,Peramelemorphia,,,NA,macrourus, Peramelemorphia Peramelidae
283,Perameles_gunnii,78,1275,0.378601,Peramelidae,Perameles,Peramelemorphia,,,NA,gunnii, Peramelemorphia Peramelidae
284,,93,966,0.29308,Peramelidae,,Peramelemorphia,,,NA,, Peramelemorphia Peramelidae
285,,87,1025,0.305674,,,Peramelemorphia,,,NA,, Peramelemorphia 
286,,149,1635,0.494293,,,Peramelemorphia,,,NA,, Peramelemorphia 
287,,18,155,0.0462722,,,,,,NA,,  
288,Pseudocheirus_peregrinus,233,3414,1.04339,Pseudocheiridae,Pseudocheirus,Diprotodontia,,,850,peregrinus, Diprotodontia Pseudocheiridae
289,Potorous_tridactylus,154,2282,0.681581,Potoroidae,Potorous,Diprotodontia,,,1430,tridactylus, Diprotodontia Potoroidae
290,Lagorchestes_hirsutus,59,1010,0.294719,Macropodidae,Lagorchestes,Diprotodontia,,,1310,hirsutus, Diprotodontia Macropodidae
291,Macropus_robustus,77,1048,0.309095,Macropodidae,Macropus,Diprotodontia,,,30000,robustus, Diprotodontia Macropodidae
292,,64,726,0.217079,Macropodidae,,Diprotodontia,,,NA,, Diprotodontia Macropodidae
293,,16,172,0.0511782,,,Diprotodontia,,,NA,, Diprotodontia 
294,Lagostrophus_fasciatus,120,1620,0.478727,Macropodidae,Lagostrophus,Diprotodontia,,,2100,fasciatus, Diprotodontia Macropodidae
295,,144,1612,0.488957,,,Diprotodontia,,,NA,, Diprotodontia 
296,Distoechurus_pennatus,295,3854,1.21639,Acrobatidae,Distoechurus,Diprotodontia,,,51.5,pennatus, Diprotodontia Acrobatidae
297,Trichosurus_vulpecula,135,1487,0.459619,Phalangeridae,Trichosurus,Diprotodontia,,,2395,vulpecula, Diprotodontia Phalangeridae
298,Phalanger_interpositus,232,2008,0.637945,Phalangeridae,Phalanger,Diprotodontia,,,NA,interpositus, Diprotodontia Phalangeridae
299,,122,1417,0.432914,Phalangeridae,,Diprotodontia,,,NA,, Diprotodontia Phalangeridae
29,Presbytis_melalophos,198,1418,0.436008,Cercopithecidae,Presbytis,Primates,Colobinae,Haplorrhini,6540,melalophos, Primates Cercopithecidae
300,Dactylopsila_trivirgata,219,2910,0.877258,Dactylopsila,Dactylopsila,Diprotodontia,,,318,trivirgata, Diprotodontia Dactylopsila
301,Petaurus_breviceps,261,3162,0.966257,Petauridae,Petaurus,Diprotodontia,,,110,breviceps, Diprotodontia Petauridae
302,,64,867,0.256486,,,Diprotodontia,,,NA,, Diprotodontia 
303,,14,147,0.0435925,,,Diprotodontia,,,NA,, Diprotodontia 
304,Tarsipes_rostratus,279,4156,1.38641,Tarsipedidae,Tarsipes,Diprotodontia,,,9,rostratus, Diprotodontia Tarsipedidae
305,,18,201,0.0598273,,,Diprotodontia,,,NA,, Diprotodontia 
306,,19,204,0.0601119,,,Diprotodontia,,,NA,, Diprotodontia 
307,,13,140,0.0414447,,,Diprotodontia,,,NA,, Diprotodontia 
308,,40,369,0.112836,,,Diprotodontia,,,NA,, Diprotodontia 
309,Vombatus_ursinus,197,2108,0.644609,Vombatidae,Vombatus,Diprotodontia,,,25500,ursinus, Diprotodontia Vombatidae
30,Trachypithecus_obscurus,164,1097,0.337735,Cercopithecidae,Trachypithecus,Primates,Colobinae,Haplorrhini,7080,obscurus, Primates Cercopithecidae
310,Phascolarctos_cinereus,454,4012,1.34496,Phascolarctidae,Phascolarctos,Diprotodontia,,,9300,cinereus, Diprotodontia Phascolarctidae
311,,96,1042,0.314186,,,Diprotodontia,,,NA,, Diprotodontia 
312,,71,766,0.23023,,,Diprotodontia,,,NA,, Diprotodontia 
313,,7,54,0.0158466,,,,,,NA,,  
314,Notoryctes_typhlops,275,3658,1.729,Notoryctidae,Notoryctes,Notoryctemorphia,,,NA,typhlops, Notoryctemorphia Notoryctidae
315,,24,191,0.0584523,,,,,,NA,,  
316,,75,592,0.181059,,,,,,NA,,  
317,Caenolestes_fuliginosus,169,2044,0.615914,Caenolestidae,Caenolestes,Paucituberculata,,,NA,fuliginosus, Paucituberculata Caenolestidae
318,Rhyncholestes_raphanurus,168,2032,0.613293,Caenolestidae,Rhyncholestes,Paucituberculata,,,NA,raphanurus, Paucituberculata Caenolestidae
319,,221,2454,0.74555,Caenolestidae,,Paucituberculata,,,NA,, Paucituberculata Caenolestidae
31,Semnopithecus_entellus,233,1475,0.457738,Cercopithecidae,Semnopithecus,Primates,Colobinae,Haplorrhini,13516.5,entellus, Primates Cercopithecidae
32,,25,136,0.0429795,Cercopithecidae,,Primates,Colobinae,Haplorrhini,NA,, Primates Cercopithecidae
320,,59,481,0.147348,,,,,,NA,,  
321,Monodelphis_domestica,269,3426,1.034,Didelphidae,Monodelphis,Didelphimorphia,Didelphinae,,105,domestica, Didelphimorphia Didelphidae
322,Didelphis_virginiana,63,626,0.189558,Didelphidae,Didelphis,Didelphimorphia,Didelphinae,,3000,virginiana, Didelphimorphia Didelphidae
323,Metachirus_nudicaudatus,54,606,0.179911,Didelphidae,Metachirus,Didelphimorphia,Didelphinae,,440,nudicaudatus, Didelphimorphia Didelphidae
324,,276,3041,0.930707,Didelphidae,,Didelphimorphia,Didelphinae,,NA,, Didelphimorphia Didelphidae
325,,149,1410,0.427327,Didelphidae,,Didelphimorphia,Didelphinae,,NA,, Didelphimorphia Didelphidae
326,,379,3560,1.11422,,,,,,NA,,  
