Id,Name,Branch.length,Family,Genus,Order,SubFamily,SubOrder,mass,species
188,,0.534036,,,Cetacea,,,NA,
189,,0.207986,,,,,,NA,
18,Thryonomys_swinderianus,2.04938,Thryonomyidae,Thryonomys,Rodentia,,Hystricognathi,6600,swinderianus
190,Cervus_elaphus,0.253907,Cervidae,Cervus,,Cervinae,Ruminantia,2e+05,elaphus
191,Muntiacus_muntjak,0.304821,Cervidae,Muntiacus,,Muntiacinae,Ruminantia,21000,muntjak
192,Elaphodus_cephalophus,0.278031,Cervidae,Elaphodus,,Muntiacinae,Ruminantia,33500,cephalophus
193,,0.0360545,Cervidae,,,Muntiacinae,Ruminantia,NA,
194,,0.0545788,Cervidae,,,,Ruminantia,NA,
195,Rangifer_tarandus,0.343132,Cervidae,Rangifer,,Odocoileinae,Ruminantia,101250,tarandus
196,,0.215138,Cervidae,,,,Ruminantia,NA,
197,Pantholops_hodgsonii,0.256545,Bovidae,Pantholops,,Antilopinae,Ruminantia,NA,hodgsonii
198,Ammotragus_lervia,0.233537,Bovidae,Ammotragus,,Caprinae,Ruminantia,92500,lervia
199,Ovis_aries,0.244002,Bovidae,Ovis,,Caprinae,Ruminantia,110000,aries
19,Cavia_porcellus,1.67854,Caviidae,Cavia,Rodentia,,Hystricognathi,728,porcellus
1,Myoxus_glis,1.80985,Gliridae,Myoxus,Rodentia,Glirinae,Sciurognathi,125,glis
2,,0.368425,,,Rodentia,,Sciurognathi,NA,
20,,0.700808,,,Rodentia,,Hystricognathi,NA,
200,Capra_hircus,0.272281,Bovidae,Capra,,Caprinae,Ruminantia,61000,hircus
201,,0.0305458,Bovidae,,,Caprinae,Ruminantia,NA,
202,,0.0901822,Bovidae,,,Caprinae,Ruminantia,NA,
203,,0.165372,Bovidae,,,,Ruminantia,NA,
204,Bubalus_bubalis,0.313904,Bovidae,Bubalus,,Bovinae,Ruminantia,725000,bubalis
205,Bos_grunniens,0.360603,Bovidae,Bos,,Bovinae,Ruminantia,667000,grunniens
206,,0.151945,Bovidae,,,Bovinae,Ruminantia,NA,
207,,0.0563975,Bovidae,,,,Ruminantia,NA,
208,,0.51283,,,,,Ruminantia,NA,
209,,0.112715,,,,,,NA,
21,,0.117455,,,Rodentia,,,NA,
210,,0.0757502,,,,,,NA,
211,Lama_pacos,0.445719,Camelidae,Lama,,,Tylopoda,62000,pacos
212,Camelus_bactrianus,0.476824,Camelidae,Camelus,,,Tylopoda,475000,bactrianus
213,,0.870942,Camelidae,,,,Tylopoda,NA,
214,,0.188715,,,,,,NA,
215,,0.196522,,,,,,NA,
216,Talpa_europaea,0.44402,Talpidae,Talpa,Insectivora,,,92.5,europaea
217,Mogera_wogura,0.491401,Talpidae,Mogera,Insectivora,,,NA,wogura
218,,0.278282,Talpidae,,Insectivora,,,NA,
219,Urotrichus_talpoides,0.78233,Talpidae,Urotrichus,Insectivora,,,NA,talpoides
22,,0.146539,,,Rodentia,,,NA,
220,Galemys_pyrenaicus,1.14219,Talpidae,Galemys,Insectivora,,,57.5,pyrenaicus
221,,0.0904245,Talpidae,,Insectivora,,,NA,
222,,0.5588,Talpidae,,Insectivora,,,NA,
223,Crocidura_russula,1.46479, Soricidae,Crocidura,Insectivora,Crocidurinae,,11.6,russula
224,Episoriculus_fumidus,0.819462, Soricidae,Episoriculus,Insectivora,Soricinae,,NA,fumidus
225,Sorex_unguiculatus,0.693837, Soricidae,Sorex,Insectivora,Soricinae,,NA,unguiculatus
226,,0.329196, Soricidae,,Insectivora,Soricinae,,NA,
227,,0.530126, Soricidae,,Insectivora,,,NA,
228,Echinosorex_gymnura,2.13469,Erinaceidae,Echinosorex,Insectivora,Galericinae,,1250,gymnura
229,Hemiechinus_auritus,0.686685,Erinaceidae,Hemiechinus,Insectivora,Erinaceinae,,342,auritus
230,Erinaceus_europaeus,0.817888,Erinaceidae,Erinaceus,Insectivora,Erinaceinae,,750,europaeus
231,,1.98287,Erinaceidae,,Insectivora,Erinaceinae,,NA,
232,,0.879384,Erinaceidae,,Insectivora,,,NA,
233,,0.180647,,,Insectivora,,,NA,
234,,0.250008,,,Insectivora,,,NA,
235,,0.264901,,,,,,NA,
236,,0.0677291,,,,,,NA,
237,Elephantulus_sp._VB001,1.1709,Macroscelididae,Elephantulus,Macroscelidea,,,NA,sp.
238,Macroscelides_proboscideus,1.39057,Macroscelididae,Macroscelides,Macroscelidea,,,40,proboscideus
239,,0.957794,Macroscelididae,,Macroscelidea,,,NA,
23,Ochotona_princeps,1.49868,Ochotonidae,Ochotona,Lagomorpha,,,100,princeps
240,Echinops_telfairi,2.32908,Tenrecidae,Echinops,,Tenrecinae,,180,telfairi
241,Chrysochloris_asiatica,1.41282, Chrysochloridae,Chrysochloris,,Chrysochlorinae,,NA,asiatica
242,,0.304386,,,,,,NA,
243,,0.147891,,,,,,NA,
244,Orycteropus_afer,1.51893,Orycteropodidae,Orycteropus,Tubulidentata,,,60000,afer
245,,0.207948,,,,,,NA,
246,Procavia_capensis,1.80901,Procaviidae,Procavia,Hyracoidea,,,3600,capensis
247,Dugong_dugon,1.09955,Dugongidae,Dugong,Sirenia,,,360000,dugon
248,Mammut_americanum,0.272234,Elephantidae,Mammut,Proboscidea,,,NA,americanum
249,Loxodonta_africana,0.0757097,Elephantidae,Loxodonta,Proboscidea,,,4800000,africana
24,Lepus_europaeus,0.490743,Leporidae,Lepus,Lagomorpha,,,4175,europaeus
250,Elephas_maximus,0.0920761,Elephantidae,Elephas,Proboscidea,,,3178000,maximus
251,Mammuthus_primigenius,0.0948444,Elephantidae,Mammuthus,Proboscidea,,,NA,primigenius
252,,0.0379589,Elephantidae,,Proboscidea,,,NA,
253,,0.255886,Elephantidae,,Proboscidea,,,NA,
254,,1.62042,Elephantidae,,Proboscidea,,,NA,
255,,0.282687,,,,,,NA,
256,,0.319815,,,,,,NA,
257,,0.27589,,,,,,NA,
258,Bradypus_tridactylus,0.798735,Bradypodidae,Bradypus,Pilosa,,Folivora,NA,tridactylus
259,Choloepus_didactylus,0.52976,Megalonychidae,Choloepus,Pilosa,,Folivora,NA,didactylus
25,Oryctolagus_cuniculus,0.513301,Leporidae,Oryctolagus,Lagomorpha,,,1800,cuniculus
26,,0.748444,Leporidae,,Lagomorpha,,,NA,
260,,0.691775,,,Pilosa,,Folivora,NA,
261,Dasypus_novemcinctus,1.43111,Dasypodidae,Dasypus,Cingulata,,,NA,novemcinctus
262,,0.146561,,,,,,NA,
263,Tamandua_tetradactyla,1.55254,Myrmecophagidae,Tamandua,Pilosa,,Vermilingua,NA,tetradactyla
264,,0.480924,,,,,,NA,
265,,0.113878,,,,,,NA,
266,,1.11796,,,,,,NA,
267,Ornithorhynchus_anatinus,0.671885,Ornithorhynchidae,Ornithorhynchus,Monotremata,,,NA,anatinus
268,Zaglossus_bruijni,0.124473,Tachyglossidae,Zaglossus,Monotremata,,,NA,bruijni
269,Tachyglossus_aculeatus,0.140635,Tachyglossidae,Tachyglossus,Monotremata,,,NA,aculeatus
27,,0.49304,,,Lagomorpha,,,NA,
